日本語,English,中文,한국語,,タグ説明
極楽に連れてってやるからな,,,,,
しっかり締めてチンポ奉仕しろよ,,,,,
おお………っべ～…！,,,,,
あ～…よしよし、届いとるな……,,,,,
しっかりメスしてやるからな,,,,,
\c[27]真夜中の公衆便所で行きずりの男女が二人……,,,,,
"\c[27]抜くためだけの、快楽だけが目的の\RB[交尾,セックス]が始まった",,,,,
あっ…ん……ちょ……本当にダメですって…,,,,,
待って…！せめて……場所を変えましょう？,,,,,
公衆便所で……致すなんて……嫌ですッ……！,,,,,
あ～そりゃもう遅いって,,,,,
この便所、青姦スポットで有名だからな,,,,,
男女が入っていった時点で,,,,,
もうとっくに後つけられてるって\I[15],,,,,
は…？う、嘘……ですよね？,,,,,
女買う金もねぇ浮浪者共が,,,,,
"俺たちの\RB[変態交尾,セックス]聞き耳立ててシコってるぞ\I[15]",,,,,
あ……あぁ……！う、嘘………！,,,,,
や………やだッ！！！やだやだやだ！,,,,,
へへ、なんだよ、わかっててここに誘ったんだろ？,,,,,
ち、違いますからっ…！,,,,,
嘘はいけねぇな、見られて燃えるタイプだろ？お前,,,,,
さっきからマンコすっげぇ締め付けてるぞ\I[15],,,,,
こ、これは……！そういうわけでは…んっ\I[15],,,,,
んふっ……くっ……,,,,,
（あ…ありえません……！）,,,,,
（いくら……暗闇で見えないからって……！）,,,,,
"（覗かれてるのに……！\RB[性交渉,セックス]するんて……！）",,,,,
んっ、どうした？言ってみな,,,,,
……なっ……んでも…ないです……,,,,,
へへ、言わんでもわかるぞ,,,,,
チンポ、深い所に擦れてるんだろ,,,,,
恥ずかしがらんでええ、み～んなそうだ,,,,,
"ウチの\RB[鬼嫁,カアチャン]も普段は鬼だがな、",,,,,
ベッドで可愛がってやるとしおらしいもんよ,,,,,
"でっかいチンポでイイトコ\RB[掻,か]かれるとゾクゾクするだろ",,,,,
この尻のデカさじゃ並のチンポじゃ奥まで届かず満足できんわな,,,,,
しゃーないしゃーない…,,,,,
"\RB[女性器,おまんこ]の奥\RB[掻,か]かれると、こんな気持ちいいって",,,,,
知らんかったろ,,,,,
粗チンじゃこの肉厚尻は掘れんだろうにな,,,,,
んっ………んっ…,,,,,
別に………ふーっ……,,,,,
ふーっ……普通っ…です,,,,,
おー、おー、無理して……,,,,,
セックスは楽しまんといかんぞ～、ネエチャン,,,,,
\c[27]男はそういうと腰のふりを加速させた,,,,,
\c[27]静寂に包まれた路地裏に水気を帯びた肉と肉がぶつかり合う,,,,,
淫らな音がこだまする,,,,,
ちょ…！激…し……,,,,,
ほ～れ、気取ってないで声出してみろ、気持ちいいぞ,,,,,
おふっ…お”っ\i[15]……おおぉ…,,,,,
フッー…\i[15]………ゆっくり…お願いします,,,,,
正直に言ってみ？青姦チンポ気に入ってんだろ？,,,,,
"おっ\i[15]そんな……わけ……！""",,,,,
おらっ！お客様の声には誠実に答えないと,,,,,
リピートしてやんねーぞ！,,,,,
"おっ\i[15]お""～～っ""\i[15]""",,,,,
んっ……とっても……たくましくて…素敵……です,,,,,
あっ……私の一番気持ちいいとこ…しっかり…擦って…,,,,,
すごい…反ってて……硬くて……ゴリゴリ擦ってます,,,,,
あっ……普段、届かないとこ……むりゅむりゅかき分けてきて……,,,,,
硬くて…太くて……熱いのが…どんどんかき分けて……,,,,,
こんなの……あっ……,,,,,
無理無理……！,,,,,
あっ\i[15]あっ\i[15]あっ\i[15]まずいです！,,,,,
ちょ\i[15] きたっ…！きたきた！,,,,,
"\c[27]加速したピストンに呼応して\n[1]の\RB[女性器,おまんこ]は",,,,,
より締め付けを増した,,,,,
"\c[27]硬く勃起した\RB[陰茎,ペニス]はそれに負けじと",,,,,
ビチビチに閉じた肉ヒダをムリュムリュとかき分けほじる,,,,,
\c[27]その１ピストン毎に\n[1]の脳に電流のような快感が走り、,,,,,
必至に理性を保とうとする\n[1]の意識をとろけさせる,,,,,
うわ、最初は拒否ってたくせにもうチン堕ちかよ,,,,,
あ～、俺も小娘のエロ声で精子昇ってきたわ……,,,,,
"あっ、あっ、あっ、お、お客様も""、イ、イキますか？""",,,,,
うっ…ピストンラッシュするぞっ！フィニッシュするぞ！,,,,,
\c[27]\N[1]の厚みのある尻にベチベチと力強く腰が打ち付けられる,,,,,
\c[27]\N[1]の身体は絶え間ない高速ピストンの衝撃に乱され,,,,,
大きく呼吸が乱れた,,,,,
あっ、あっ、あっ、はいっ、どうぞっ,,,,,
ご自由にっ、んっ、お精子、出してっ、下さいっ！,,,,,
どこに出してほしいんだ……！？,,,,,
ゴッ、ゴム！ゴム！ゴムに発射して下さいっっ！,,,,,
はぁ、はぁ、違うだろぉ？,,,,,
お客様に気持ちよく射精して貰うのがお前の仕事だろ！,,,,,
"いっ卑しい\I[15]花売りの\I[15]\RB[肉壺,おまんこ]に\I[15]",,,,,
"お客様の\RB[陰茎,ペニス]で……",,,,,
何がペニスだっ！お上品気取ってんじゃねぇーゾ！,,,,,
キンタマから精子ドクドク昇ってくるような言葉使えや！,,,,,
はひっ\I[15]チンポッッ\I[15]チンポですッッ\I[15],,,,,
外で聞き耳立ててるおっさんに聞こえるように、,,,,,
もっとでかい声でっ！,,,,,
"お嬢さん、今、\RB[女性器,おまんこ]に何ハメられてんだァ？",,,,,
"\fs[35]チンポッ\I[15]チンポ\RB[挿入,はい]ってますっ\I[15]",,,,,
\fs[35]公衆便所でっチンポハメられちゃってますぅ\I[15],,,,,
"あ～～\RB[射精,で]る、\RB[射精,で]る",,,,,
あっ…あっ…あっあ～～～\i[15],,,,,
\fs[35]おっ客様のお精子っっっ、発射してくださいませっっ\i[15],,,,,
はっ……はっ……はっ……\i[15],,,,,
んっ……っく……イッ……く\i[15],,,,,
あっ…きた……きたきた……\i[15]私もイキますっっ\i[15],,,,,
うおっ………急にすげぇ締め付けてきた…！,,,,,
おい、ネェチャン！チンポ千切れるって…！,,,,,
待って！だめ……だめだめ………まだ抜いちゃダメです……\i[15],,,,,
"\c[27]\n[1]はまだ硬さに余韻を残す\RB[陰茎,ペニス]を膣奥深くに打ち付け、",,,,,
"気持ちよくなれるスイッチ""に擦り付けた""",,,,,
\fs[35]……イっっグゥッ～～ん……\i[15],,,,,
あっ！ま……待って！まだ……私…イってな……,,,,,
"…………\RB[射精,で]ちゃいました……？",,,,,
ふう……小娘とは思えん名器っぷり……,,,,,
めちゃくちゃ使えたわ………,,,,,
ありがとな、ネェチャン,,,,,
ほらよ、代金だ、とっときな,,,,,
おっ……お買い上げ……ありがとうございましたぁ\i[15],,,,,

207:夜の花売り:3,,,,,
へへ…いいからさっさとおまんこさせろや…！,,,,,
あっ、だめ…！お客様だめです！,,,,,
そういうのは…,,,,,
わ、私……神に仕える身ですので…,,,,,
"\RB[処女,じゅんけつ]は…守り通さなくてはいけないので…",,,,,
"おいおい、聖職者サマがこんなとこで\RB[売春,ウリ]やってんのかよ",,,,,
へへ、ますます興奮してきたぜ…,,,,,
代わりといっては何ですが…,,,,,
ケツあ………コホンッ…！,,,,,
お尻のアナでしたら…,,,,,
へへへ…マジかよ…,,,,,
変態がよぉ…！,,,,,
\c[27]今から見ず知らずの男と行きずりのアナルセックスをするという,,,,,
現実を前に\n[1]は興奮を隠せずにいた,,,,,
"まさか\RB[尻穴,こっち]も開発済みとは驚いたぜ",,,,,
わけぇのに気合い入ってんな、オネエチャン,,,,,
"\RB[初心,うぶ]な顔してよ…",,,,,
"\RB[尻穴,ケツアナ]で何人の精子無駄うちさせてきたんだ？え？",,,,,
"へへへ…流石に\RB[鬼嫁,カアチャン]相手にアナルはできねぇからな",,,,,
たっぷり玩具にさせてもらうぜ,,,,,
もう…じらさないでください…！,,,,,
"へへ、悪ぃ悪ぃ…今\RB[玩具,チンポ]、刺してやるからな",,,,,
"おお""お""ん”っ…！""",,,,,
おいおい、脱糞するときみてぇな声だしたな,,,,,
これじゃうんこの度に気持ちよくなってんだろ,,,,,
"お、おおぉぉ～～～…\RB[女性器,おまんこ]とは違う……",,,,,
"すぼまった\RB[尻穴,いりぐち]で環をされてるような………",,,,,
アナルが…出し入れするたびに……吸いついて,,,,,
お”おっ”……,,,,,
おいおい、相当使い込んでるな,,,,,
は……はひ……それなりに…,,,,,
へへ、素人じゃこうはいかんもんなぁ,,,,,
おまんこ使えない事情でもあるんか？ん？,,,,,
"まさか…\RB[聖職者,プリースト]ってことはないよな",,,,,
"さて……ご想像に…お任せ…おお""お""ん！""",,,,,
我慢は体に毒だぞ、ネエチャン,,,,,
\c[27]夜の便所に水気を帯びた肉と肉がぶつかり合う,,,,,
"\RB[尻穴,アナル]で感じてる変態に今更恥もねぇだろ",,,,,
おら、声出せ！,,,,,
"\RB[尻穴,うんちあな]……だめ…なのにっ…",,,,,
あっ……深いとこ…しっかり…擦って…,,,,,
"あっ……\RB[尻穴,うんちあな]……むりゅむりゅかき分けてきて……",,,,,
"硬くて…太くて……熱いのが…\RB[尻穴,うんちあな]",,,,,
どんどんかき分けて……,,,,,
あっ\i[15]あっ\i[15]あっ\i[15]きたきた！,,,,,
"\c[27]加速したピストンに呼応して\n[1]の\RB[尻穴,アナル]は",,,,,
ビチビチに閉じた肛門をこじ開け、腸壁を擦り付ける,,,,,
あ～、小娘のエロ声で精子昇ってきた……,,,,,
んっ……どう…ぞ…,,,,,
ご自由に……んっ…吐き捨て下さい,,,,,
"いやしい花売りの\RB[不浄な穴,アナル]で……",,,,,
思う存分……精子こいてシコって下さいませ,,,,,
あっ…きた……何かきた……！\i[15]イキます…\i[15],,,,,
うおっ………すんげぇ締め付け……！,,,,,
"\c[27]\n[1]はまだ硬さに余韻を残す\RB[陰茎,ペニス]を尻穴深くに打ち付け、",,,,,
……イっっグゥッ～～ん……\i[15],,,,,
……待って……もうちょっと……,,,,,
"あっ…………\RB[射精,で]ちゃいました……？",,,,,
お尻の穴で……果てちゃったんですね……,,,,,
ふう……まだ若いのにケツ穴まで仕込まれてるとは……,,,,,
"\c[27]ぽっかりと空いた\RB[尻穴,アナル]から吐き出された精液が流れ出てくる",,,,,
\c[27]\n[1]の穴はイヤらしくモノ欲しそうにヒクヒクと痙攣し続けていた,,,,,
恐れ入ったぜ………お嬢ちゃん,,,,,
お買い上げ……ありがとうございましたぁ\i[15],,,,,

207:夜の花売り:4,,,,,
"そうですね…今日は大丈夫な日""なので…""",,,,,
ここなら人通りもありませんし………,,,,,
貴方だけ特別に…,,,,,
無責任で……最低の……,,,,,
快楽だけのセックス………したくはありませんか？,,,,,
"\c[27]\n[1]の\RB[肉壺,おまんこ]は既にヨダレ""が糸を引いて""",,,,,
男性自身を受け入れる準備が整っていた,,,,,
へへ…マジで言ってんのかよ…,,,,,
\c[27]今から見ず知らずの男と行きずりの生交尾するという,,,,,
知らねぇぜ…マジで……,,,,,
"ガキ\RB[孕,はら]んでも責任とれねぇからな？",,,,,
"生で……\RB[射精,だ]していいんだな……？",,,,,
デキても俺は知らねぇぞ…,,,,,
今宵限りの秘め事ということで…,,,,,
宵越しのヤったヤってないは、お互いなしでいきましょう,,,,,
へへ、野暮だったな,,,,,
んっ…おおお…ん！,,,,,
おっ…キッツ……！！,,,,,
なんだこりゃ……もしかしてお嬢ちゃん……,,,,,
"\RB[処女,はじめて]か…？",,,,,
ふぅー……,,,,,
ご想像に…お任せします,,,,,
そうか、まぁどっちでも構わねぇや,,,,,
よっしゃ！一人前の女にしてやるからな,,,,,
あっ…！……生……きたぁ…,,,,,
うっお…すっげ……！,,,,,
中…すんげぇぬるぬる…！めちゃくちゃ熱い！,,,,,
あっ……こりゃ長く持たんわ…,,,,,
チンポがもう種出したがっとる,,,,,
ダメだわ、このおまんこ完全にガキこさえる準備整ってるわ,,,,,
あっ…ちょ……,,,,,
へへ、わかるわかるよ、オネエチャンの考えてること,,,,,
セックスの相性、最高すぎるって言いたいんだろ,,,,,
"\RB[女性器,おまんこ]の中がもうチンポで型とったみたいに",,,,,
ピッチピチになっとるわ…,,,,,
デカチンでこんだけビッチリカタドリしちまったら,,,,,
もう並のチンポじゃ満足できんくなっちまうかもなぁ,,,,,
やっぱ…生、全然違うって言いたいんだろ,,,,,
濡れた粘膜の感触、相手の血管までわかるような触感……,,,,,
生に比べたらゴムセックスなんか子供の遊びだわな,,,,,
そういいてぇんだろ…オネエチャン,,,,,
"\RB[生物,メス]の本能、ひしひしと感じてるんだろ",,,,,
"なんだかんだ言って\RB[子供,ガキ]が欲しくてたまらないって",,,,,
おまんこは言ってるぜ,,,,,
こんな気持ちいいことが悪いことなわけないもんなぁ,,,,,
………ふーっ……,,,,,
いえっ………違いますっ…けど,,,,,
ただのオスとメスになろうや、ネエチャン,,,,,
あ～～～…もう精子こみあげてきた,,,,,
うっっ……チンポ、正直すぎるぜ……,,,,,
"家の\RB[鬼嫁,ババア]じゃ1時間腰振っても",,,,,
水みたいな精子しか出ねぇのに……,,,,,
「このメスは絶対に孕ませろ」とチンポが脳に指令を送ってるのが,,,,,
わかっちまうんだわ…,,,,,
このメス声と肉厚おまんこで狂うっっ！,,,,,
ビチビチに閉じた肉ヒダをゴリゴリにかき分けほじる,,,,,
"あ～、やばい……やばい…\RB[精子,ザーメン]でるわ",,,,,
好きなだけ……んっ…お使いください,,,,,
"いやしい花売りの\RB[肉壺,おまんこ]……",,,,,
"\RB[膣内射精,なかだし]……してくださいませ……",,,,,
あっ…きた……きたきた……\i[15]イキます…\i[15],,,,,
……待って……もうちょっと……腰振って,,,,,
"\RB[射精,で]てる……中で……",,,,,
ふう……,,,,,
\c[27]\n[1]の膣内に吐き出された黄ばんだ精子が僅かに流れ出してくる,,,,,
\c[27]プルプルと強い粘り気を帯びたそれは\n[1]の子宮にへばりつき,,,,,
出された量に対してほとんど逆流してこなかった,,,,,
中だしできたのなんか久しぶりだわ…,,,,,

207:カジノ・ショー:1,,,,,
煌めく光、飛び交うチップ、ここは夜の街の華、カジノ,,,,,
私は成り行きでこのお店で仕事をすることになりました,,,,,
一章 バニーY字開脚,,,,,
en(s[753])二章 バニーポールダンス,,,,,
en(s[754])三章 バニー早着替え,,,,,
en(s[755])四章 裏バニー早着替え,,,,,
en(s[756])五章 裏バニー早着替え,,,,,
en(s[757])六章 裏バニー早着替え,,,,,
バニーはお客様を楽しませるのが務めです,,,,,
私はとっておきのパフォーマンスを披露することにしました,,,,,

207:ダンスステージ:1,,,,,
踊り子たちがしのぎを削るダンスステージ,,,,,
支配人に言われるまま、私はその熾烈な競争の渦中に,,,,,
放り込まれました,,,,,
一章 エロそんきょ,,,,,
en(s[759])二章 挑発せんずり,,,,,
en(s[760])三章 エアセックス,,,,,
ギャラリーの熱狂にあてられ歪む貞操観念……,,,,,
いつしか私は股間の布をまくり、見せつけるように,,,,,
なまめかしく腰をふっていました,,,,,
規則で性器の露出は厳禁です、しかしお尻の穴はセーフ,,,,,
私はこの穴を突き、フロアを一気に熱狂させました,,,,,
突如としてステージに乱入してきたゲスト,,,,,
盛り上がったステージを冷めさせるわけにはいかない,,,,,
パフォーマーとしての実力が、今試される,,,,,

207:ダンスステージ:2,,,,,
\c[27]未曽有の熱狂と舞い散る金貨の煌めきに,,,,,
\n[1]は意識が朦朧としだした,,,,,
(あ、あぁ……歓声……気持ち……いい…\I[15]）,,,,,
（理性が止めようとするのに……身体……止まらない）,,,,,
(気が…へんになる……\I[15]）,,,,,
\c[27]最前列の男は\n[1]に勃起した陰茎を見せつけた,,,,,
（げ、下衆め…\I[15] あんなに…硬くして……\I[15]）,,,,,
（っ………下腹部が…ジンジン熱くなってる）,,,,,
オラッ！さっさと脱げッ！おまんこ！,,,,,
おい、\N[1]ちゃん、顔、蕩けてるぜ～\I[15],,,,,
イくんじゃね？イくんじゃね？,,,,,
\N[1]\I[15] お・ま・ん・こ\I[15]絶頂\I[15],,,,,
（くっ…！変なコールを……やめなさい……！\I[16] ）,,,,,
（顔が……に、にやける……\I[16] ）,,,,,
\fs[30]（発情してるのが……バレるッッッッ！！！\I[15] ）,,,,,
\N[1]は蕩けた素顔をすりガラスで隠した,,,,,
あ～～～\I[15] イキ顔隠して性器晒した\I[15],,,,,
（い、今……多分……性器よりも…恥ずかしい顔してる……\I[15]）,,,,,

207:ダンスステージ:3,,,,,
劇場のボルテージは留まるところを知らずヒートアップし、,,,,,
"\N[1]とギャラリーの意識を巻き込み、\RB[混沌,カオス]に突入していく",,,,,
(どんどん…自分が自分じゃなくなっていく……\I[15]）,,,,,
（あっ\I[15]すご\I[15] 私であんなに勃たせてる…\I[15]）,,,,,
（っ…お尻の穴に視線が集中して…焼けこげそうッッ！）,,,,,
オラッ！尻穴女！アナルしわ見せろ\I[15],,,,,
そういうこと言う人には見せてあげません\I[15],,,,,
うおおぉぉ～～！\N[1]\I[15]\N[1]\I[15]\N[1]\I[15],,,,,
はいっ\I[15]　はいっ\I[15]　はいっ\I[15],,,,,
ア・ナ・ル\I[15] \N[1]\I[15] ア・ナ・ル\I[15],,,,,
は～いっ\I[15],,,,,
卑猥なコールに合わせて\N[1]は,,,,,
観客席に向かって尻穴をチラチラと見せつけ挑発した,,,,,
やっべ\I[15] \N[1]ちゃんのアナルしわで精子出る\I[15],,,,,
（はぁ…はぁ…私…一体何を…？？？\I[15]）,,,,,

207:ダンスステージ:4,,,,,
本日は当劇場のスポンサー・ブラッドリー商会のご子息,,,,,
ボビー様の特別共演でお送りいたします！,,,,,
（ど、どういうこと…？）,,,,,
BooooBoooo！！！\I[16],,,,,
なんだあの醜いデブは！さっさと失せろよ！\I[16],,,,,
ハハハッ！貧民共めッ！,,,,,
お前たちはそこで指を咥えてみていろ！,,,,,
はぁ…はぁ…\I[15]\N[1]ちゃん……も、もう我慢できん…！,,,,,
え…？あ、あの…何を…,,,,,
おいおい！呼んでねーぞ！おっさん！\I[16],,,,,
ワハハッ！ボクチンのダンスを見ていろ！,,,,,
え…？一体何を……,,,,,
ムハハッ！なかなか良い眺めだな！,,,,,
さ、パフォーマンスを続けるぞッ！,,,,,
（と、とりあえず動きを合わせましょう）,,,,,
ちょ！！や、やめっ……！恥ずかし…ッ！,,,,,
あッ\N[1]ちゃん\I[15] ほらッ\I[15]もっと見せつけようよ\I[15],,,,,
僕たちのダンスをッ\I[15]観客席で指くわえて見てる奴らに！,,,,,
（や、やだ…！私のダンスステージが…！,,,,,
いっぱい人も見てるのにッ…！）,,,,,
（こ、こんな間抜けな…セックスみたいな動きで…\I[16]）,,,,,
おい\I[16] \N[1]ちゃん嫌がってるだろ！！\I[16]\I[16],,,,,
離れろよ！糞デブ！！\I[16],,,,,
そうだそうだ！！頑張れ！\N[1]ちゃん！！,,,,,
そんな金満デブに負けるなッ！！,,,,,
うるさいぞ、貧民ども,,,,,
おい、セキュリティ、今文句を言った奴をつまみだせ,,,,,
くっ…！な、なんて奴だ……！,,,,,
（ま、まずい……このままだと収拾がつかなくなる…！）,,,,,
（こ、この場を収めないと……！）,,,,,
皆さま…！ちょ…ちょっとだけ…！待っててくださいね…？,,,,,
はぁ…はぁ…\I[15] あ～生\N[1]ちゃん…かわいい～\I[15],,,,,
ちょ…落ち着きましょう？ね？\I[16],,,,,
ステージが終わったらお話ししましょう？,,,,,
だから一旦止めて下さい…！,,,,,
やだッッッ\I[15] 今、今するッッ！！,,,,,
あっ…はぁあぁんっっ…！！\I[15],,,,,
突如としてステージに鳴り響いた艶のある\N[1]の声……,,,,,
ギャラリーに衝撃が走る,,,,,
え………そ、そんな……\N[1]ちゃん…！？,,,,,
あっ\I[15] あっ\I[15] だめですって\I[16]　こらっ,,,,,
嘘だ嘘だ嘘だ……お、俺たちの天使が…！あんなキモデブと…！,,,,,
セッ……！,,,,,
ちょっと…！何もやましいことはしてませんよ！！\I[16],,,,,
わ、私は……だっ大丈夫\I[15] ですから\I[15],,,,,
お、俺は\N[1]ちゃんを信じるぜ…！,,,,,
\N[1]ちゃんのお尻やらけぇ～～～\I[15],,,,,
あっ\I[15] ダメですって！当たってるからっ！\I[16],,,,,
おっ\I[15] あはっ\I[15] ちょっ\I[15]敏感になってるからっ！,,,,,
ちくしょう…！なんで勃起するんだよ……！俺のチンポ…！,,,,,
はぁ…はぁ…あんな糞デブに……！俺悔しいよぉ……！,,,,,
ねっ？ 後で楽屋でいっぱいしてあげますから…,,,,,
が、我慢しましょ…？,,,,,
しょーがないな～\I[15]約束だゾ？\I[15],,,,,
お、お待たせしましたぁ……\I[15],,,,,
（クソっ……メスの顔してやがる……！）,,,,,

207:街中の粗相:1,,,,,
街の中には魅力的な飲食物がたくさんあります,,,,,
ハーブティーにスムージー、エールに葡萄酒……,,,,,
私は自身の膀胱を過信していました,,,,,
一章 白昼の失禁,,,,,
en(s[715])二章 真夜中の放尿,,,,,
en(s[716])三章 白昼のスライム排泄,,,,,
気付いた時には既に手遅れ……,,,,,
街のど真ん中で私は一歩も歩けないほどの,,,,,
尿意に追いつめられていました,,,,,
しかし幸いにもここは誰もいない真夜中の街,,,,,
私はすみっこの街灯に向け腰を下ろしました……,,,,,
腹の中で外に出ようとのたうちまわるスライム,,,,,
出すまいと鉄壁の守りを固める私の肛門,,,,,
審判の時が迫っていました,,,,,

207:ふたなり治療:1,,,,,
インキュバスの呪いを受け、男根が生えてしまった,,,,,
このままでは街に帰ることもできず,,,,,
仕方なく”民間療法”に頼ることに……,,,,,
一章 ふたなり治療,,,,,
女性器を模した性玩具、オナホールという名前らしいです,,,,,
このいやらしい最低の穴に劣情を吐き捨てることで,,,,,
インキュバスの呪いが解けるとか……,,,,,

207:ふたなり治療:2,,,,,
あ……ヤバい！意識が……塗り替えられる…！,,,,,
私男に産まれてたら絶対、犯罪者になってましたよォ……！,,,,,
オァーー……！力づくでおまんこ犯して,,,,,

207:うつろの正体:1,,,,,
ダンジョンに潜る探索者の間でまことしやかに,,,,,
囁かれる状態異常「うつろ」ー,,,,,
とうとう、私にもその兆候が現れ……,,,,,
一章 着床,,,,,
en(s[711])二章 順化,,,,,
en(s[712])三章 意識改変,,,,,
en(s[713])四章 洗脳完了,,,,,
en(s[818])五章 宴,,,,,
とある日、いつものようにダンジョンから帰還すると,,,,,
体が意識に反して動き出す奇妙な現象に苛まれました,,,,,
日常で意識が途切れている時間帯があることに気付きました,,,,,
その間、私は倒れるでもなく活動している様子なのですが…,,,,,
徐々に肉体のコントロールを失っている時間が長くなっている…,,,,,
人格が徐々に塗り替えられていくような……,,,,,
ゴブリン族に忠誠を誓います,,,,,
ハイジョシマスハイジョシマスハイジョシマスハイジョシマス,,,,,

207:潜入！男子便所:1,,,,,
危機一髪のところでトイレまで間に合ったのもつかの間、,,,,,
女子トイレは満員……！,,,,,
もはや残された道は一つしかありませんでした,,,,,
一章 男子便所立ちション,,,,,
パブの真っ暗なトイレ、黙っていれば,,,,,
男女の差なんてわかりません,,,,,
私は賭けに出ることにしました,,,,,

207:グラビア撮影:1,,,,,
軽薄な編集者の口車に乗せられ、,,,,,
私はガラにもないモデルの仕事をすることに……,,,,,
一章 いつものレオタード,,,,,
en(s[763])二章 ピンクレオタード,,,,,
en(s[764])三章 スリングショット,,,,,
en(s[765])四章 ヌード,,,,,
いつものレオタード,,,,,
着慣れた自然体の恰好は落ち着きます,,,,,
この格好ならどこに出しても恥ずかしくはありません,,,,,
ピンクの長袖レオタード,,,,,
露出は普段のものより少ないはずなのになぜか恥ずかしい,,,,,
色のせいでしょうか？,,,,,
スリングショット,,,,,
どう考えても水着には見えない変な恰好…,,,,,
度し難いです,,,,,
ヌード,,,,,
もはや言い訳のしようもないほどのポルノ,,,,,
私がずっと掲載されていたのはポルノ雑誌でした,,,,,

207:グラビア撮影:2,,,,,
（う……あらためて見られると恥ずかしいですね……）,,,,,
（……やっぱりやめておけばよかった）,,,,,
（なんなんですか……このポーズは……）,,,,,
（あ、ありえません……このような下品なポーズ……）,,,,,
（くっ……お金のために我慢しなくては…）,,,,,
お～～\I[15] いいねぇ、\N[1]ちゃん,,,,,
で、\N[1]ちゃんは今、恋愛のほうはどうなんだっけ？,,,,,
は、はぁ…？れ、恋愛……ですか？,,,,,
そうそう、やっぱ読者は気になるじゃない,,,,,
い、いえ……あの……そ、そういう話は,,,,,
ひ、秘密です……秘密,,,,,
かぁ～～～！秘密かぁ～～！\I[15],,,,,
かなりモテそうだけど？ 付き合った人数はどんなカンジ？\I[15],,,,,
ふへ……！？ま、まぁ…それなりです…それなり,,,,,
そっかぁ～～～、3，4人とか？,,,,,
ま、まぁ、想像にお任せします…,,,,,
（はい、絶対処女\I[15]）,,,,,
"\N[1]ちゃん、エッチな\RB[肉体,カラダ]してるよねぇ～",,,,,
男がほっとかないでしょ\I[15],,,,,
……さぁ、どうでしょう,,,,,
いやいや…すっごい良い画撮れてるよぉ…！,,,,,
そうそう、もうちょっと股開いて～…,,,,,
読者のシコシコ欲上げていこうか\I[15],,,,,
（………失敗でした）,,,,,
（お金を稼ぐにしてももうちょっと慎重に選ぶべきでしたね……）,,,,,
（濡れてる濡れてる\I[15]）,,,,,
（処女の癖にシコられる想像で一丁前にまんこ濡らして,,,,,
シミ作ってやがんの\I[15]）,,,,,
（エロ知識はしっかりあるみたいだな、処女の癖に\I[15]）,,,,,
で、\N[1]ちゃんは今、恋愛の方はフリーなんだっけ？,,,,,
ええ……パートナーはいません…,,,,,
いやぁ～、これ読者は殺到しちゃうねぇ～\I[15],,,,,
で、\N[1]ちゃんは結構経験豊富なカンジだ？\I[15],,,,,
さ、さぁ……人並ですよ……たぶん……,,,,,
あまりそういうことはひけらかすものではありませんので…,,,,,
ほ～～う、そっかそっかぁ,,,,,
（処女ではなさそうだな、経験人数\V[118]人くらいってとこか）,,,,,
いや……まぁどうなんでしょう……少なくはないとは思いますが…,,,,,
ふむふむ……なるほど…,,,,,
（ヤリマンっぽいな、経験人数\V[118]人前後ってとこか）,,,,,
はぁ……ノーコメントで,,,,,
え！？そ、そっか…,,,,,
（なんだこの落ち着き…風格すらあるぞ…！）,,,,,
（………やれやれ、度し難いですね）,,,,,
（付き合いきれません…）,,,,,
（はい、エッチなシミいただきましたぁ～～～\I[15]）,,,,,
"（どうぜ\RB[陰核,クリ]も勃起してんだろ\I[15]）",,,,,
（たまんねぇ～～～\I[15]）,,,,,
で、\N[1]ちゃんは今、彼氏持ちなんだよねぇ,,,,,
ええ…まぁ……パートナーはいます,,,,,
いやぁ～、彼氏クンがうらましいねぇ～\I[15],,,,,
この爆裂ボディを好き放題できるわけでしょ？\I[15],,,,,
ふん………もっとマシな発想はないのですか…,,,,,
いやいや…男なら誰でも想像するってぇ\I[15],,,,,
彼氏とエッチする時の感じでいこうか\I[15],,,,,
（はぁ………ありえません）,,,,,
（こんなところ……来たのが間違いでした）,,,,,
（こりゃもう完全にセックスモードに突入してるな\I[15]）,,,,,
（今日のセクハラおかずにしながら,,,,,
今晩彼氏とハメるんだろうなぁ～、たまんねぇ～\I[15]）,,,,,
そうそう、いいね！その顔！,,,,,
そのイヤそうな顔…素人感バリバリでイイわぁ～！,,,,,
もっとちょうだい！そのイヤイヤ顔！,,,,,
（路銀を稼ぐためには手段を選んでいられません）,,,,,
（この程度のこと……我慢です……）,,,,,
オッケ～～～イ！そんじゃ,,,,,
このスリングショットに着替えてもらって……,,,,,
ふざけないでください\I[16],,,,,

207:グラビア撮影:3,,,,,
ま、まぁ、そんな感じです…,,,,,
……さぁ、わかりませんね,,,,,
（処女の癖にシコられる想像で一丁前にシミ作ってやがんの\I[15]）,,,,,
ええ…まぁ……パートナーはいませんが…,,,,,
いや……全然普通、人並です、たぶん……,,,,,
（ヤリマンっぽいな、経験人数\V[118]人ってとこか）,,,,,
（今晩は彼氏とハメるんだろうなぁ～、たまんねぇ～\I[15]）,,,,,
あ～、いいね！,,,,,
ちょっとこなれた感じ！そそるねぇ～！,,,,,
もうちょっと足広げてみようか！,,,,,
（後ちょっとの辛抱です…）,,,,,

